title,company,rating,location,salary,summary,post_date,record obtained,job_url,State,City
"Research Scientist, Bioinformatics",Kite Pharma,3.8,"Santa Monica, CA",,"Hands-on experience with the bioinformatics analysis of single-cell, flow cytometry, mass spectrometry, and mass cytometry data analysis is required.",30+ days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CKn2asMFt2ssUbZx28JoI1Uu-b2-qdkKONqPCPCy3GTPZSnLSKve2AqItHZiMTx0PnLBBh5HV-V9_v0e2NROkl7iwffsWTIlxg7eDK4eKsAbpGrYfQZfIYdCLjIN0r8CECWuIfxi0vet71uKaP9rFMC0-mFuSve42VryYhwzDQOlqLU7dX9pw-lKP2ImXFVV1R0mbejlzepQZgzZcFpwzEkqVG0WXGRwsfGc2hDwnLHYyUOg5XfbcnCrzbbkhmvoDb_tnCSkh60IcBUdk0J2uX-UfUKc9JmpkghgX72o52HxankThHMzjKaTmz_-AkjYIBySmRmbtjc8nKGWDkKtIfHgREaM7dEZQVCAUUkC1jV9U7SHp8H9ypxGAQo-byMsYe8U14hrFziaRFEN6uBcL9g6_wnRm53CEBItAz0UsESD-mNJ4sBGrA3PY7t0muqh2ozfs_-ou_kAExbrFdTU6ZRIWT71R5xMbhS_sI-gM-cTHK3ZVA_YQCCe637jrM7QSiBDxampM2Gw2o6DEDQGDpA85sU7mQ30viN59_NpqaEetT_9_dFBpghdBhDzQUPC3xZmbCwbsf952Xinar7Maft18Zgw0kUfzeDLp1M28nP4MuIHfdlBFtglHyStvurmZAp41d6UwfSw==&p=16&fvj=0&vjs=3,CA,Santa Monica
Bioinformatics Scientist,Eclipse BioInnovations,,"San Diego, CA","$80,000 - $120,000 a year","Perform previously existing standard analysis pipelines using the AWS cloud platform.
Examine data and preparing technical reports, summaries, protocols and…",30+ days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CN0eHvAlBSxXhl4Ps2VJw_aQAABUbiWN04Z2lSTQb-SSVpbfF-nePkyM85OL3eAYBFRuJHRhEGpXRuIwZkxB7ZgOl5iSqMsb3wHPy3U8y3lEk5npjq_rRXqvtD2XMii8bX7aRPX30qurv2z_gfzMLkITKbeZm3_UYjEtVUy8mGNQbtPh5OHUfe4G7nCelTOYIzNh3phVaj1Wye3v4hcig9WL_XZAZYRObnG5UHswRW781vFt_jEshxaVMy7cqvpiZYi42c9Qk9IE7Xb0akdY3HU3dXi8-Jh_0qw_nWP0wOx_BfRnHJs4oOxmb1XsuAS-0Sptqseh8K-WUcOREj53-vqSd8rf_ZyXHJmzuJN7WH1Mk_f3yXMAl2-KEBcZWxaijmzjTNADfGfKt_R5YDeO4E0fnfOLbndQMh-LdR0-lexSd-o8fMAyAeZ1ihD1WXwls-nP7c1ftbTIe0NxQUg2gpspaoM5wAEHY=&p=17&fvj=1&vjs=3,CA,San Diego
Sr.Bioinformatics Scientist,Boston Children's Hospital,4.1,"Boston, MA",,"Strong background and experience with bioinformatics data.
Passion for new technologies and science.
Knowledge and experience in the use of open source…",16 days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=9733cb66de51a4ae&fccid=847fa4d5cb464f5a&vjs=3,MA,Boston
Bioinformatics Pipeline Development Engineer,Personalis,3.2,"Menlo Park, CA",,"Our pipelines provide the foundation for a wide range of cutting-edge applications in the immune-oncology space, including analysis of diagnostic and emerging…",1 day ago,2020-10-29,https://www.indeed.com/rc/clk?jk=b920dadb43708af5&fccid=ec75e4308c5ea738&vjs=3,CA,Menlo Park
"R&D Data Science Graduate Program, US, 2021",GSK,4.2,"Collegeville, PA",,"Medicinal Science & Technology (MST) within Pharma R&D is accountable for ensuring that GSK has access to technology that amplifies our science, bringing…",13 days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=be2349f2af5da1ed&fccid=4e42ec53f4b93e02&vjs=3,PA,Collegeville
Bioinformatics Data Engineer,Allen Institute for Immunology,,"Seattle, WA",,"Ability to implement, test, and share new computational tools quickly, in an iterative manner, after feedback from experimental, data production, and analysis…",17 days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=18acfb73f0ffaacf&fccid=beb626a3ca49e79c&vjs=3,WA,Seattle
Bioinformatics Data Analyst,Centrillion,,"Palo Alto, CA",,"Bachelor in statistics, applied mathematics, computer science or other computational science.
You will perform data analysis and benchmark analytical algorithms…",30+ days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=471ccb695af55b18&fccid=2aa42c06718c85f9&vjs=3,CA,Palo Alto
Scientist II,SummerBio,,"Menlo Park, CA",,"Analyze, prepare, and clearly present results to interdisciplinary teams.
Experience with Primer3, BLAST, Primer-BLAST, and UCSC in-silico tools and similar…",30+ days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BXs2IaCmHdINpcAqGZIbNzZ_lyFyweCjF6mhkwH7VxlWEr64k8jsWiZED4Op9aOTAJiavWc7OqDEN2gkfkr3hZU8Af_6QVyDPLru-uI0h4ttSj51vtJQr1WheTW9Ft1tMC8dQMOJqHn-QEKQ36yWbOpj70bvPK65LXRatGd5TjiD9i-GyrL_HUjXk8BwxZTsN2mFfurs6tnnpGmbjgeXP9dAIAdw9KDqt0W2PRWmi726puB-MeAUTQvaIsDIbV38IFdIx4yted9ZlDE1ugRv0CLqpSugNwZ-2nBD4xJsyBMA4fHbWjScJW_jKnDueBsZW-QKQrzkwfSpXwTkTsQIfRzv7Lg5iJlEE-MI5C2uxeXJzUnFxuiWuRa-jcQ4ehpPLPP7SqJlITL8ZyQc8FJI9tIvLgKFq88fQzjEn4isLxAEWslZOiWwT_Vmlxm4fOEW9ARfDV6qAZEN70HfdPD0rC&p=10&fvj=1&vjs=3,CA,Menlo Park
"Principal Bioinformatics Scientist II, Development",Roche,4.2,"Pleasanton, CA",,"Partner closely with Molecular Biology, Engineering, and other Bioinformatics teams to perform all aspects of bioinformatics data analysis including…",30+ days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DwpSO_X_4fO3yEPcJl8pLft9tRR8Y02gXA9Ku0YkSky7EbH1AnYCZJRrvWORRQ0Hp-CJeJ8mXtITIb3gONfwZaMiE4m0GerALIYfDKUnOdI8zbpo9_H3qR8-5wF1S1PrrxP04Z303kkMVsczRh8o8vhQcohWhfq_ov2E28DA649pVsOgablLiVB0iW3o8GMpx3kARfsS4JnRPmyK16J-OEkgyh6Hn0rmyqM3laUBmCYwZTiJ72__MA_SUvH2tt4fQikBIE6GxRGnaKtgTf6ZAjDW_v0-8cKAESmud5tE1Wwau7DmZ5zNEQPkkx5CBmGL5ZwvYPyGgHKd_gl7svOFHYH0f9xl3f-bjUXmw3SGJ1Hje34i5wxSnHFQMD8c79CeA4h6PcpmrJMaiKx2QhC8rPBVBAHB3JtzjnKIVeJQlOSc3Ey0QaV4JseFap72IIAqjKOuuJvU-MXMlzDLzHK5_5AjqhHKgfOzugyEWHO9J6uw-EFHFbJ5D3XOl3FMcInCWXFVJHV2i4_wE9QkmaAAHonUMvQ35MLCy3RCojUPoeIJvJU6Pb-r_w-taJ5zsX-sDThxY1tpWFH6SmhRzXIbwIIT4jLlrgKYP0f7t9l2X3CHLZiqpV9YeYSAJFUj2b6FOFSATpdNQcC2U2EGaiqr_QXqfngZ4AGYU=&p=11&fvj=0&vjs=3,CA,Pleasanton
Epidemiologist,"IHRC, Inc.",4.5,"Atlanta, GA",,"Performing data analysis, including preparation of 2x2 tables and graphs.
Developing communication debriefs to update the Mycotic Diseases Branch and other…",30+ days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BGFpjgZQf3ItW9dM7q_D6PmD90sQvne3C-Bwcd7L89hTzFbqc7rEP1bUO3sOFOGlWFtjmXe_xBTpx17jMJWYZdgqUJE4gjO0tbqF4Lwh4h-J8-mldjzyI6cRPjeXvqwQABovKml-4cAwyvMiVsdkOPUaQnmWZnNRs0GTHGfuakzjV2DKJYmHastOatOD9YDj2O3WqSZWy6GZE1wqenQzm3x23Jrnac8lg5zh-Ak7B1caPRzxbkR6QS-yfUxSggG9AhF8tI-GzZWAccHtTSNca8h50sdvbRPwSNbyox3tFqBpegS-DZivGmV4UJPJvYQa0yoBKsePqAWNsceB9j9deEHRnOKFkle0FbHEv1_DlDQPza46fLBoVPU8fBhRSd_mzOWznvwPEK33PFPuCUxTimJlUbDZo7SCXCJ6iisfDHeB7cxxJZ_ourH9tgpYPH_W0zDkVBp3jcKkZ2WGYsPzZ-xqOtQwnDsYcob9iJrdWKIOPVzQJpN9vwyEL62bRGmN9Dy77b53V938b8R-gYAbQv-UbRA3U9vMR1Zue6Dn8HBrFLMdSYJ14q_4MEoTbxCaw=&p=12&fvj=0&vjs=3,GA,Atlanta
Scientist,Areté,4.0,"Northridge, CA",,"Qualified candidate will have a BS, MS, or PhD degree program in the physical science, mathematics, computer science, or engineering.",30+ days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cw76nUHSNM5Er8L7TUT-gKPuAdKuTMkGcjrg5-V625nXQ-1c9Cz7nfXE4ULGdal04C1hxExQeODvzLbEqON1_bekaYDzO2b4iqwzbT5IARAkcyBDfpzGqXDHlMhuYv7tZ-caCE7kVOZkYM_NvENNQBDS8usSwAvGBC8vCYVhjO6lyLxpg8nZ_YWHCYxDYYEBf33MmHve9ROcPH5zGG7aYZbjxeQGsMKlPHxqdrk1u6IxFQmBOq8txbs4pxQv1u1ol45Pz0fA3qDjSSv4YmgvzslHmcdw5aKgz0bm6s73NzD-s_Zz_SalYT-oirJd-PPCCOZ5mYui7WiidrBCCXmbBmjBwrhBa2TRg1t9SCSKnhrc6TO00c7HqUhrkAhobMXERdokI9vl4PAcID4AxBKzFBdiZLARgFhbIak7r9iuC62h8NVoNMDxM0eqx1WPEjd-gn9OVrifL1U3F6hGmx__Ck2F-Sughyvnyqn1V-ZJRo7HKQQPtVnv9Q5_6oBDPl5EF5OZxF9ONU1tY9LTvn5k43WPs0sPQY9ZO6GeYkhxcYwnKlqpFM5-xk&p=13&fvj=0&vjs=3,CA,Northridge
Bioinformatics Analyst (REQ1322),Frederick National Laboratories,,"Frederick, MD",,The Biomedical Informatics and Data Science (BIDS) Directorate works collaboratively and helps to fulfill the Frederick National Laboratory's mission in the…,30+ days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D_SRVRQ3RP5ku5KsCwhGbG0oZjsQz1kMqHFWPuaYy7cftw0pyn8wj0XERHOlreTBoAIJLODyTJubcmLhl70mM_lyc2hEvJZsvqHjKwagB1cw7lw_ePr7zvKrmzAEe4mOQOaUgk93gwb0s-Qf55Y_pcWl7wmfmwy5RS4Nb_qcN8jM0pbMlZa_wD_GacVtiIjK58vtLbqxUAFauB0JiiPsyPdmVXW7WKM_R6X9gmx_xd32JNn1glfIEX_wEg7SBsWMNvuXXfaozmjO6Wfr7Ndbij6gODmXJL_RdHtx0_n9xmopyQivLZ0U0CZKfg1ZTOnj7myw1YhKBn2BjAjTLKnnDiMSLgtpA-_9UQPEV-f2pW3QgbhUKmDGEqpOH07yCZaqtDw91XI6qxEAqvvQzwd19aJsB--o466pLBPSbnegpD5kRdU-ts_4TpTxBvFO1w2jbIyatONegb60H7mcigg3uUg6YRQ7wHAhDEl9qa5wVJPuNOf5hy7ap5&p=14&fvj=0&vjs=3,MD,Frederick
"Scientist, Bioinformatics","Checkerspot, Inc.",,"Berkeley, CA",,"M.S. (or higher degree) in bioinformatics, computational biology, systems biology, genetics, or related field, and a sound understanding of both biology and…",30+ days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CQniIxpZOMITkuZ-rCg3gGrs6RfZPWgn91X3gKEF0zQgYovzcx0j4GvXKnk4a83ulYovTKgqq9fsyWJ3qO3b0kFaYpJflwO-ywnvaZZQ8ZLYxOaFa4aE23GXuzq6h_yE9ZxgvTb2zda6HY9QvqrW6AX-nXIACZBgqQYGubnSSlr1FVDUQ8EmuMUIakydcJ1Eq0GNIs0rNadiqqdbMYbQk7QElMOsr2cn_3QrgutKrKAllygdZCjvegZH89JOXBdUCXnqAlyqh-nb_ogoCu1hju75HXyQ9YB7TF8F-LrSd9xP_37fb6LzpfxRuDZIkvzDvi0CAmdeYMxuQ-s9tjO8OHrL7LEVu4hpXlIzNPSpjdP1iZzW6x1F0i8UVPGbFDcjF5q2da0mGdSRGQgiBu-5TQSE4LHVKgj3SLGQnKetXemtRuWM6tlmwlU3BBoIRYW649OhQKjEYBwf0l5AN9AJGFK1AJofLtQPk=&p=15&fvj=1&vjs=3,CA,Berkeley
Scientist,"GENEWIZ, Inc.",3.3,"South Plainfield, NJ",,"Carry on routine NGS lab duty including sample QC, library prep, and sequencing.
Work closely with other team members to ensure timely and effectively…",6 days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cs6xOhnJVRMRDJJUnubzeP-1VsWav6pPU07VdL3pV1RkCDDbnLBZtEHwD6tXu--fCEGage1Khj1geS6Lb16Ca6GoML1fxxyX4p3uEfLISk86CcE4vCpDhqhUWq2ej93mtykqeMNwrMUwOC21dqQ-Rpk_sCsiulcv6Dth5ojMYV4E93drIi1R_uZznMbm6D6JcgfubFORv5PcdYDDz1zmn633NF1UHiaeI_wcHB44otgd8KbzLfzeBJnkF-SnV-4d4vXzrszlbC0lMjEROrLesC4UdAgmBVGmWhHOumhReLbATAGfBSqDV08kHBkilgLD3zg74WyyRPu1x1XIb2QUIuRxvwP80DPLKbZNOBkiobuLOeqL1Y55bGF5USXjwOF-Ge-lcXZwBRxlzBnYvJSUYG-Y3RRzwHggnVOaVcszrp8sDc4jx9nBRoF_SS4IirRtY0xHReUYThJltBD6xTyldaMpmCXvvtK0Xop7MBvxqmqqTrxpWbVNlviM0IMqFerrSRBG2uo5e4hA==&p=16&fvj=0&vjs=3,NJ,South Plainfield
Computational Biologist / Bioinformatics Data Scientist,Novartis,4.1,"Cambridge, MA",,"Familiarity with biological profiling technologies and the analysis tools to support them.
In this role you will work at the cutting edge of science to tackle…",8 days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Alc63mq7XbG_XJWtX8RBizZIwo5v3DdAY7_u3VbNSkJ_xP7YBlPnYI-Kphl7S8MIhlog1XiH5cK2xrJQTPHiNfolQ_ARFb-Vae4hrYEXjD87cGlJaqlqa7cGqWQ6mzO6GxdXpe2Xz6YDfD_zJXZxEFKnBecDeCYtRbosly67hlkPY0qng0YBimlDjn_wAs3wOXhUBsd8jiaLp9061yQdUW2W1Q5nhdYJcaNLUGn_PC2G8HizbJ3k8zwbGz51ZEm-99fcecToeaya9PGsGwW-fLY4CtZQHX0qnJPOGKmIOP2KeFGjFKkKJpt6Vfjqkr5GT0RHdJt-pUA12DxL4UiaIAcnuFgVVxqZ55otmpIL8XEoXde6MrT-bzlows64P9iuu8NODtY2XL_E8-66dGF0k08IpqbTEttGc=&p=17&fvj=0&vjs=3,MA,Cambridge
Integrative Data Scientist - Bioinformatics,Takeda Pharmaceutical,3.8,"Boston, MA",,"Provide bioinformatic and/or computational biology support to characterize disease mechanisms, mechanism of action for therapeutic interventions, and identify…",30+ days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A2FglVpD15yjwf_kBlpCp3aF2-ThlNcApwZ2XoCuisxqOxEXA7NQxpGhmzTWBxj6tlgq5y1f5a2MXJA_aR381Y7FukmkMOXMK2-qwq1H5TgcW_4bCLmBbXEtDpCe-IrgDFQAkIsTzv0xg9EPuLqkMw5W6icH-Wlc-2CpBA16DFAWrM0gktFNOV5wdzK-oCVYBAbFiIMG6UFaGvCQOgnJOPAmL7nrZKKCBT6M1oMKehO0IyHPMX3U7DioKApIqxt9eghfKGDlO3Uy0ksWtdU27_1azLLQHH14Qoyt6uiEq8PgnFRfmDQNoBd1cBGvKZdHSBdqlgOznAE5f6o8X-3F4drbmhgtROJwNDqs_LsAcZvrWmeWcTtf7OBHc5WxGMzJmZCgSBSa-im7uMGYmIaKd6BLtfM8c2psf27km56EFj5fh8L3wCVkwJCC5S-U2M1Ds=&p=18&fvj=0&vjs=3,MA,Boston
Scientist,"GENEWIZ, Inc.",3.3,"South Plainfield, NJ",,"Carry on routine NGS lab duty including sample QC, library prep, and sequencing.
Work closely with other team members to ensure timely and effectively…",6 days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cs6xOhnJVRMRDJJUnubzeP-1VsWav6pPU07VdL3pV1RkCDDbnLBZtEHwD6tXu--fCEGage1Khj1geS6Lb16Ca6GoML1fxxyX4p3uEfLISk86CcE4vCpDhqhUWq2ej93mtykqeMNwrMUwOC21dqQ-Rpk_sCsiulcv7iF8FTYqXT1osEvmfQWdot8BwuQpNWGRr35OaEZjDUzMaqJTYhVW5gelUfkIxu3n_PH6-ugxGi3ztQ7bDf8Flj-UTKH8e02jzw0UZdn3jwKT_h7A2qu08PT90CSmNM2WQCOV1qs6vV2Z4SEULcn5PHGMuqXV-yipE0QdF9iQcWbfb0_R4LlKUrbdYp1YuD6OpvKEweSd9zN9w9laH3zJJ4d50qxlTu1a83XxTVLQOLWe6GrsvAU06KLrJMs5IvnFgP7zWBlB7zXgZn1ZmzjqHJcZAXHcihVBcROHiaAH71sf0khO-2VsEdhxmvdJ-wxFtl2Q2_fDWNPHWNDQbD8c2K8gkNrP3MoHOlofExldce5w==&p=0&fvj=0&vjs=3,NJ,South Plainfield
Head of Bioinformatics,Chinook Therapeutics,,"Seattle, WA",,PhD in computational biology/bioinformatics or related biology degree and a minimum of 5 years’ experience applying computational methods to support drug…,20 days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=28b95e215947571f&fccid=0215fa69c75d5d5f&vjs=3,WA,Seattle
Bioinformatics Analyst II,Fred Hutchinson Cancer Research Center,4.2,"Seattle, WA",,The bioinformatics analyst position will work with a small team of bioinformatics specialists and developers to achieve our goal of using computational methods…,30+ days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=5dbd9785fc556d12&fccid=a513e92edbf529af&vjs=3,WA,Seattle
Bioinformatics Programmer,NYU Langone,4.1,"New York, NY",,"In this role, the successful candidate will be responsible for analyzing various types of sequencing data analysis for research conducted by scientists at the…",30+ days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=64fe02b8d8209085&fccid=848e72c84ce4a7a7&vjs=3,NY,New York
Solutions/Software Engineer for Web/Interface Team,Fulgent Genetics,,"Temple City, CA",,"By merging the fields of genetics, molecular biology, and computer science, we pursue excellence in sequencing, scalability, and data analysis.",30+ days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DaymrziV32DHko6bELuw5_VtGLHlG9C70Awz4bXRybzlSr4MJSojPaN-VSjEmk-ex9rP6dTIZasjmnNwo_HwcFMsWrA3Tm6rsyeK_CiRtVrkvBC_Pg94VvcToq9bgN4mehqqsz911yXzLFf89pAKnEL8pHmmSKl1f6Yo8uwemqZaw_msmrO1sIfjfBKnJrFfMS1ppeGkKOfUZH04-nzAaQo7r8X2OpK7SNJWpa9CPqt7kC38xFwbQk4o5KXhHSN2g_tiRCFYVnty-n-aAiJ5FXupFNtwd2OekBYhEb5FcMHEvo9tovfAKoPhtd9CCQJPg1UkS4hHdDQcDZTjDqTEnPMV31DGxXFPPd60vU53B8HAq2xCw0wtR3AHl922_31fiH1IGeiT-b3mYwB7U-AQm3NWmEA9Bvy2V3i43tcgBsJZuoFUENj8VArJV2Ll3LGnY26gMB3TgXnRUqRNEiuf_EL-YXkA9g7U0yXn1nWJDnXnE9vaq4ztn60fyHZ--0Apc=&p=11&fvj=1&vjs=3,CA,Temple City
Research Associate,Quantapore,,"South San Francisco, CA",$27 - $31 an hour,The scope of this position is to optimize and standardize procedures and protocols for sample analysis on Quantapore’s sequencing platform.,6 days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C31zeYOY_7GwSFsiRm5o_MK9LBJ6LoF0wi_XMZpVKmQmw8JRfDMreGphDz0YZ6s0N--pdfpNw1d8wdrNjIBvl6sWXh8mUz54hrPz4HUIqnlRbgLTvOiPxjXZAmG_TMtRRT-0HDg4SZ2N6q4XtIOihASajaM_0UzHAtEciUzZQVOd1R6Zn5T1wm4YyUTcADS_GKqPhuOCXz257FO8e2WWF-aSkhDfgi5bf8CH4i6MdxIVxyRvEm5unSj-9bsE3J4qi-Yi-VDRaLxrrL_fmPH1CxB7y6-whgrMMAdi6pU4Pm0D4kkKlKJWvBaEsIE8MQ9oxzpQ804nGI0kTuY9RGU3BB7y11MKx76bh47sMqTGSns4in5xZlyMJCgjdHL44FVtz3LcTbJ2tUPScH1PUnOv2PnbZZ1EVqK-G8v-WAaqKLZkUFAYUZoMyEOhiFhUlWGLIVynMuHB0whg==&p=12&fvj=1&vjs=3,CA,South San Francisco
"Senior Scientist, Molecular Biology",Directed Genomics,,"Watertown, MA",,"The candidate will oversee and be a point of contact with customers and with their project teams.
Hands-on experience assay design and analysis.",30+ days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C-4IJbn0n4maxljK1jHmajCB9jBDVlhH7ttI1Gl67f0CqgWUJI5HopNoPsoIGVFAKm-bpHUB7lqIN7qGP2twRbIMlkIIsrr1F7GvkpgPfskfDABqmCp6dbb6qvTxtK1mugu91zjNqG23MEVI6yftlErDvH2juNm-r-kKGme-e0kz6U7YlvieJe4wrNOpmq16tKT82K5UIb5_9bSNCndLCdE-E8AtYqr6avQ-1f6mxcEin1e5xMEazXxgUK0rSH3iGp1DByqp8tcwfFjYrPYKGjS_1C9sg6gy741HNVuolO1KdFBwaXzgDTc2VFGjTQZoDz_TyPv7KE9crLtC9e4M1A1BGg8wF4vWHtQ8wNhU9YkXxjePDFPBEfTuCUAO36AmG62zS84iLu3UJcefrE9xa78Ao6LygHWMDghYad3fZsGIy98NfMXeadhwQHKaQJll7-VV23nJ2OQ1dnXrobZZk9goAkAECO96F6ANrFrZy8wQ==&p=13&fvj=1&vjs=3,MA,Watertown
Postdoctoral Researcher in Bioinformatics,The University of Texas Health Science Center at Houston,,"Houston, TX","Up to $60,000 a year","One researcher should have expertise in multi-omics data analysis including SNV, CNV, and SVs.
This researcher will perform the statistical analyses to annotate…",1 day ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DceSzsClle2iZCWxsENjHWm_ZjsErFcYeaAe7dMVCnKlI3uP1bHyNf1tPuDSAZec_CskEmaaq5Qp7IzATQnyUjHTwfPtGr1ddgDhsSVWPiPYsHZ_T2tI0cnmEhM6Fh7OTOuoBKRqkQg6c4HEuuUUSALzBZOirSoThSH1OvhdCgTikA273s4xtjKes4GXXxKOZqEChxu1E9vgZi0YemWTEwMYbNWYpZ-a1cxOQnWupnwLL0QlLRAIUKbYINGaovIeuuewb4w6TND9ZHUTgoSpcQK7RkdH5cnvQZZDTRQ2_PaB8ijkOhpQvkqLdbLlv2n2XyfmlbHT4fPNQ5zEcaStu1W26g5cEZJ33vbrpDFq5eXn6b54_Q1yHWstoUzoPaG_nYbhZwvTkweH24yy4IBmD7MJKlUMSBzHtlbBTc--Z49GGHr-RH_99w1SHW-7t7PdxGmqrbF5MV2Y35keEcupCEg9vtvrbcCaQzrsy2Gs6mZA==&p=14&fvj=1&vjs=3,TX,Houston
Bioinformatics Analyst III (REQ1385),Frederick National Laboratories,,"Bethesda, MD",,"Experience in at least two of the following areas: Exome sequencing, metagenomics, ChIPSeq, RNASeq, DHS-Seq, microarray analysis, DNA methylation analysis.",7 days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D_SRVRQ3RP5ku5KsCwhGbG0oZjsQz1kMqHFWPuaYy7cftw0pyn8wj0XERHOlreTBrhznEzll35YfEGCDGPfuRIftC5a1Oi_iNeZabcHJ8eAT6PYtK7jn_FxEpG8FsBgjsNbRsuemSBaWdsNPcrnfRja9QJNQNbOpbcNSScKsbB3IvLy9cVApO-yCMAI7IlzM97KamJ43MotdkKBXdruWO-zs8XKBlIFC1GlXRlojqRLRy0bh4NSBzhm8AExD3E9unxImqYADs3P5UYjNQ67FV_tkV0XCcJdkYB9YmGpvzyJrpnFY_r2xYgQr3RZAzfW0UcXo6bofsJhf2yvoa20QB3kpraCMu1G2DqaUkct6kZC2es3lfy7UgpBAu7YCLVJ79We7BOrTv-SECNdty4b2BmCS7jrsPH6qyJycR8fhy5M2k1EVnshM4F-gLTyqgOP_PG7H2Ma_IL_K-GzPfV6CJIOvDWNuv9TiQx0F8_7xCxlAfHEY83HbNX&p=15&fvj=0&vjs=3,MD,Bethesda
Bioinformatics Scientist,Boston Children's Hospital,4.1,"Boston, MA",,"Building pipelines for quality control and data analysis, integration of multiple data sources, data management and deposition of data to public repositories.",30+ days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=eb901f73989600f9&fccid=847fa4d5cb464f5a&vjs=3,MA,Boston
Bioinformatics Scientist 1,Providence Health & Services,3.7,"Portland, OR",,"2 years' experience related to bioinformatics work in a clinical laboratory or experience in academia, biotechnology, or other healthcare field (preferably…",23 days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=62c413f989134d90&fccid=b983e0b562a36362&vjs=3,OR,Portland
Bioinformatics Analyst II,Dana-Farber Cancer Institute,4.1,"Boston, MA",,"Experience in analysis of the next generation sequencing data, e.g. DNA-Seq, RNA-Seq, ChIP-Seq, etc; experience in single-cell data analysis is a plus.",7 days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=dba7ba604a09b955&fccid=31a15643b156b0a5&vjs=3,MA,Boston
"[Psomagen, Inc.] Bioinformatics Data Scientist I/II/III","Psomagen, Inc.",,"Rockville, MD",,"In Rockville, MD is seeking Computational Scientists/Bioinformaticians to work on implementing analytic pipelines, computational analysis, and/or interpretation…",17 days ago,2020-10-29,https://www.indeed.com/company/Macrogen-Corp./jobs/Bioinformatic-Data-Scientist-e778d39e426254f6?fccid=6229ee526a7f8557&vjs=3,MD,Rockville
"Remodulin Cardiopulmonary Specialist - PAH (Washington, DC)",United Therapeutics,3.8,"Washington, DC",,"Bachelor’s Degree or equivalent experience (preferably in nursing or life science).
The Remodulin Cardiopulmonary Specialist maintains and increases sales of…",10 days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cocjp5aXSonv_BdNgjjavENb20uKJEsTdQ5m1dWpXNSdqSM6g3KW6fDwpN66X2xdOPvUfxSVwkyye4HEzhijEjt6dqrmA4es9zfPNpg0OlOycazerp7wdwE7p0uau7Kxre_zz7-6XeT9SxF6Z4scWl4vCwp5Pr8j_Aph39KbbsdDnV4EKVeWO9PCSb_kYKbvjwvDqrE7sjOTvY60Vel3HrVFMTEIO8OMlnT-69vXYfENiOokJ8LWwJeEmnznwH0OACi6GL3k2jBd03lUpsxq-oWA5JcUvC5hRAZWzsJatxMx_C41MW9_zda61WPjpfM86ICX8PCAL5L5skSyxaL11F_NqTYyWwADQYCdsMa53izSfzniSbAUO6GyAIYwYvH-qDkTfm7WhsY1I4pQAby3MN67vitF9Ch1OJSsK6lXLZSRjHYHJTiROC5Cp4PG5ltP_JShpTmEthzuCJ66cIJQMsD7aUQoyLptfz6ks6FThTgi6SEmxeszWGl7W4wX8PIpsYxOAITm5bCwUKojdPCVPhS7jM0hnUFkgDfa3mpLkTa4XhW39qQck_btGaRHq3ywA=&p=10&fvj=0&vjs=3,DC,Washington
